Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\22666.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco593_4
Sample Number	75
Sample Position	RC3
Sample ID	22666
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:48:23 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	9e7c585c-4bf2-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-6.10154
Signal Max.	361.246830
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0.901833	0.10	-2.706820	
0.903500	0.10	-2.719490	
0.905167	0.10	-2.734070	
0.906833	0.10	-2.750150	
0.908500	0.10	-2.766540	
0.910167	0.10	-2.782530	
0.911833	0.10	-2.798070	
0.913500	0.10	-2.813390	
0.915167	0.10	-2.828970	
0.916833	0.10	-2.845540	
0.918500	0.10	-2.863960	
0.920167	0.10	-2.884360	
0.921833	0.10	-2.905620	
0.923500	0.10	-2.925840	
0.925167	0.10	-2.943780	
0.926833	0.10	-2.959850	
0.928500	0.10	-2.975180	
0.930167	0.10	-2.990130	
0.931833	0.10	-3.004330	
0.933500	0.10	-3.017990	
0.935167	0.10	-3.031930	
0.936833	0.10	-3.046040	
0.938500	0.10	-3.058990	
0.940167	0.10	-3.069840	
0.941833	0.10	-3.078990	
0.943500	0.10	-3.087460	
0.945167	0.10	-3.096300	
0.946833	0.10	-3.106810	
0.948500	0.10	-3.119840	
0.950167	0.10	-3.134510	
0.951833	0.10	-3.148620	
0.953500	0.10	-3.160430	
0.955167	0.10	-3.169610	
0.956833	0.10	-3.176570	
0.958500	0.10	-3.181610	
0.960167	0.10	-3.185310	
0.961833	0.10	-3.189440	
0.963500	0.10	-3.196540	
0.965167	0.10	-3.207980	
0.966833	0.10	-3.222940	
0.968500	0.10	-3.239910	
0.970167	0.10	-3.258170	
0.971833	0.10	-3.277240	
0.973500	0.10	-3.296180	
0.975167	0.10	-3.314030	
0.976833	0.10	-3.330030	
0.978500	0.10	-3.343280	
0.980167	0.10	-3.352950	
0.981833	0.10	-3.358720	
0.983500	0.10	-3.361050	
0.985167	0.10	-3.361860	
0.986833	0.10	-3.364540	
0.988500	0.10	-3.371390	
0.990167	0.10	-3.381360	
0.991833	0.10	-3.391010	
0.993500	0.10	-3.397580	
0.995167	0.10	-3.400820	
0.996833	0.10	-3.402900	
0.998500	0.10	-3.407090	
1.000167	0.10	-3.415010	
1.001833	0.10	-3.424670	
1.003500	0.10	-3.432440	
1.005167	0.10	-3.436850	
1.006833	0.10	-3.439620	
1.008500	0.10	-3.442560	
1.010167	0.10	-3.444970	
1.011833	0.10	-3.444640	
1.013500	0.10	-3.441380	
1.015167	0.10	-3.438570	
1.016833	0.10	-3.440790	
1.018500	0.10	-3.449970	
1.020167	0.10	-3.464620	
1.021833	0.10	-3.481800	
1.023500	0.10	-3.498480	
1.025167	0.10	-3.512010	
1.026833	0.10	-3.520640	
1.028500	0.10	-3.524280	
1.030167	0.10	-3.524420	
1.031833	0.10	-3.523110	
1.033500	0.10	-3.522200	
1.035167	0.10	-3.523190	
1.036833	0.10	-3.526160	
1.038500	0.10	-3.529110	
1.040167	0.10	-3.529680	
1.041833	0.10	-3.526740	
1.043500	0.10	-3.520070	
1.045167	0.10	-3.510190	
1.046833	0.10	-3.499090	
1.048500	0.10	-3.489710	
1.050167	0.10	-3.484300	
1.051833	0.10	-3.482840	
1.053500	0.10	-3.483110	
1.055167	0.10	-3.482500	
1.056833	0.10	-3.480000	
1.058500	0.10	-3.476110	
1.060167	0.10	-3.471600	
1.061833	0.10	-3.466880	
1.063500	0.10	-3.462320	
1.065167	0.10	-3.458410	
1.066833	0.10	-3.456320	
1.068500	0.10	-3.457740	
1.070167	0.10	-3.462860	
1.071833	0.10	-3.469510	
1.073500	0.10	-3.474520	
1.075167	0.10	-3.475410	
1.076833	0.10	-3.471330	
1.078500	0.10	-3.463890	
1.080167	0.10	-3.456170	
1.081833	0.10	-3.450170	
1.083500	0.10	-3.445550	
1.085167	0.10	-3.440770	
1.086833	0.10	-3.434950	
1.088500	0.10	-3.428480	
1.090167	0.10	-3.422050	
1.091833	0.10	-3.415340	
1.093500	0.10	-3.406690	
1.095167	0.10	-3.394690	
1.096833	0.10	-3.380290	
1.098500	0.10	-3.366520	
